year,month,date,area_cgsm_km2,n_scenes
2020,6,2020-06-01,388.9441678182094,3
2020,7,2020-07-01,404.26796164018833,2
2020,8,2020-08-01,412.41751073330835,3
2020,9,2020-09-01,422.90800478477513,2
2020,10,2020-10-01,413.0549872242425,3
2020,11,2020-11-01,420.3351559890518,3
2020,12,2020-12-01,435.96320342755246,2
2021,1,2021-01-01,425.5976298841877,2
2021,2,2021-02-01,434.84640653492846,2
2021,3,2021-03-01,434.58463007908,3
2021,4,2021-04-01,431.46350769577265,2
2021,5,2021-05-01,424.1219653324609,3
2021,6,2021-06-01,419.34078069003675,2
2021,7,2021-07-01,432.36473171659657,3
2021,8,2021-08-01,433.77285169471907,2
2021,9,2021-09-01,431.60172205704015,3
2021,10,2021-10-01,429.5899038969637,2
2021,11,2021-11-01,435.54564890926554,3
2021,12,2021-12-01,435.7538926719371,2
2022,2,2022-02-01,429.3968510070709,1
2022,3,2022-03-01,435.3977512929942,3
2022,4,2022-04-01,435.17218622985183,2
2022,5,2022-05-01,421.4529329941359,3
2022,6,2022-06-01,433.8650128539691,2
2022,7,2022-07-01,419.1372916394969,3
2022,8,2022-08-01,429.84484565155157,2
2022,9,2022-09-01,431.40499111460747,3
2022,10,2022-10-01,423.12591978198407,2
2022,11,2022-11-01,432.98370591562895,3
2022,12,2022-12-01,434.9930441837643,2
2023,1,2023-01-01,434.56560900086134,3
2023,2,2023-02-01,435.0899427572125,2
2023,3,2023-03-01,435.2439780842533,3
2023,4,2023-04-01,433.9379645585681,2
2023,5,2023-05-01,434.2841055065602,3
2023,6,2023-06-01,433.8502133494816,3
2023,7,2023-07-01,435.66768071136005,2
2023,8,2023-08-01,435.39232350139855,3
2023,9,2023-09-01,427.232437638775,2
2023,10,2023-10-01,207.23042655127924,3
2023,11,2023-11-01,428.72058615515897,2
2023,12,2023-12-01,434.85184920186896,3
2024,1,2024-01-01,423.2137989278662,2
2024,2,2024-02-01,419.00228265539306,3
2024,3,2024-03-01,420.31204310501454,2
2024,4,2024-04-01,434.2335067513667,3
2024,5,2024-05-01,429.9646250052213,3
2024,6,2024-06-01,432.46225510333574,2
2024,7,2024-07-01,405.88815776637614,3
2024,8,2024-08-01,376.08531534793826,2
2024,9,2024-09-01,433.31845539062,3
2024,10,2024-10-01,421.21671196249275,2
2024,11,2024-11-01,431.11570728716356,3
2024,12,2024-12-01,419.39044257823156,2
2025,1,2025-01-01,434.61450170438366,3
2025,2,2025-02-01,430.8396648021989,2
2025,3,2025-03-01,407.5659614301096,3
2025,4,2025-04-01,435.3404851816032,5
2025,5,2025-05-01,435.5349213128271,5
2025,6,2025-06-01,435.09052014121795,5
2025,7,2025-07-01,435.29460012588305,6
2025,8,2025-08-01,432.8112514417199,5
2025,9,2025-09-01,432.3110900951483,5
2025,10,2025-10-01,431.36800406777587,5
2025,11,2025-11-01,434.58029930460225,3
2025,12,2025-12-01,435.134233536978,5
