id_estacion;SENSOR;latitud;longitud;fecha;sat_date;delta_days;concentracion;unidades;SR_B2;SR_B3;SR_B4;SR_B5
17523;SENTINEL;10.84438;BADLON;02/08/2021;01/08/2021;1.432638889;53.8;mg/L;0.0566;0.0891;0.0831;0.0277
17523;SENTINEL;10.84438;BADLON;09/03/2020;09/03/2020;0.536805556;55.1;mg/L;0.0513;0.0762;0.0546;0.0252
17523;SENTINEL;10.84438;BADLON;18/02/2019;18/02/2019;0.482638889;56.8;mg/L;0.1342;0.1514;0.1288;0.1054
17523;SENTINEL;10.84438;-74.50986;02/08/2021 10:25;01/08/2021;1.434027778;59.2;mg/L;0.0566;0.0891;0.0831;0.0277
17523;SENTINEL;10.84438;BADLON;22/03/2022;22/03/2022;0.455555556;59.7;mg/L;0.0626;0.079;0.0666;0.0516
17523;SENTINEL;10.84438;BADLON;10/10/2023;10/10/2023;0.439583333;60.1;mg/L;0.0449;0.0667;0.0447;0.0362
17527;SENTINEL;10.833;-74.57445;24/05/2021 11:05;26/05/2021;1.538194444;60.4;mg/L;0.1892;0.209;0.2178;0.1292
17527;SENTINEL;10.833;-74.57445;02/08/2021 10:52;01/08/2021;1.452777778;60.9;mg/L;0.0697;0.1094;0.1142;0.0489
57926;SENTINEL;10.82929;-74.57487;19/03/2024 14:04;18/03/2024;1.586111111;61.6;mg/L;0.0891;0.0947;0.0888;0.0926
17527;SENTINEL;10.833;BADLON;18/02/2019;18/02/2019;0.517361111;61.8;mg/L;0.1013;0.1178;0.0928;0.069
17527;SENTINEL;10.833;BADLON;23/01/2024;23/01/2024;0.477083333;63.2;mg/L;0.0703;0.0904;0.0885;0.0472
17527;SENTINEL;10.833;-74.57445;09/05/2023 11:05;08/05/2023;1.461805556;63.8;mg/L;0.0733;0.091;0.094;0.0541
57927;SENTINEL;10.84175;-74.54596;19/03/2024 13:34;18/03/2024;1.565277778;64.1;mg/L;0.0738;0.0922;0.0728;0.0472
57925;SENTINEL;10.8405;BADLON;27/01/2025;27/01/2025;0.497916667;64.6;mg/L;0.0592;0.0778;0.0749;0.0484
17527;SENTINEL;10.833;-74.57445;27/01/2022 10:45;26/01/2022;1.447916667;65.3;mg/L;0.0619;0.087;0.0834;0.0354
17524;SENTINEL;10.82579;BADLON;03/10/2022;03/10/2022;0.465972222;65.7;mg/L;0.0563;0.0766;0.0824;0.0293
17523;SENTINEL;10.84438;BADLON;12/02/2018;13/02/2018;0.517361111;67.1;mg/L;0.0599;0.085;0.0762;0.044
17523;SENTINEL;10.84438;-74.50986;09/05/2023 10:49;08/05/2023;1.450694444;67.2;mg/L;0.0686;0.089;0.0785;0.0408
17527;SENTINEL;10.833;BADLON;16/09/2019;16/09/2019;0.525;67.4;mg/L;0.096;0.1136;0.1102;0.0647
17524;SENTINEL;10.82579;-74.59268;09/05/2023 11:13;08/05/2023;1.467361111;69;mg/L;0.067;0.0897;0.0872;0.0346
17524;SENTINEL;10.82579;-74.59268;06/07/2021 12:00;05/07/2021;1.5;69.8;mg/L;0.0794;0.111;0.1158;0.0529
17523;SENTINEL;10.84438;BADLON;20/05/2024;20/05/2024;0.434027778;70.1;mg/L;0.0262;0.0582;0.0324;0.0171
17527;SENTINEL;10.833;BADLON;09/03/2020;09/03/2020;0.550694444;71.6;mg/L;0.0602;0.0891;0.0754;0.0482
17524;SENTINEL;10.82579;BADLON;21/02/2023;22/02/2023;0.505555556;71.9;mg/L;0.0696;0.0891;0.0954;0.0498
17523;SENTINEL;10.84438;-74.50986;11/03/2019 13:30;10/03/2019;1.5625;75.3;mg/L;0.0451;0.0786;0.0487;0.023
17527;SENTINEL;10.833;-74.57445;02/08/2021 10:55;01/08/2021;1.454861111;76.6;mg/L;0.069;0.1096;0.1144;0.0483
57925;SENTINEL;10.8405;BADLON;20/05/2024;20/05/2024;0.429166667;78.2;mg/L;0.0404;0.055;0.0428;0.0382
17523;SENTINEL;10.84438;BADLON;23/01/2024;23/01/2024;0.465972222;81.3;mg/L;0.0525;0.0723;0.0554;0.0374
17523;SENTINEL;10.84438;-74.50986;25/01/2023 11:43;23/01/2023;2.488194444;82.9;mg/L;0.2054;0.2054;0.2024;0.2374
17527;SENTINEL;10.833;-74.57445;06/03/2017 12:45;05/03/2017;1.53125;83.3;mg/L;0.0501;0.0822;0.0598;0.04
17523;SENTINEL;10.84438;BADLON;21/02/2023;22/02/2023;0.526388889;83.6;mg/L;0.0615;0.0852;0.0818;0.0482
17523;SENTINEL;10.84438;-74.50986;19/03/2024 12:50;18/03/2024;1.534722222;89.2;mg/L;0.066;0.0897;0.0652;0.0403
17524;SENTINEL;10.82579;BADLON;20/05/2024;20/05/2024;0.463194444;90.4;mg/L;0.1702;0.205;0.2198;0.1544
